frame,decode_ms,render_ms,total_ms
716,0.491875,5.78557,6.27745
717,0.333073,3.18021,3.51328
718,0.28625,5.0863,5.37255
719,0.532187,5.83891,6.37109
720,0.313541,5.97583,6.28937
721,0.379635,5.8351,6.21474
722,0.308906,3.06167,3.37057
723,0.29724,5.14755,5.44479
724,0.427605,5.98307,6.41068
725,0.296302,5.54401,5.84031
726,0.484948,5.81786,6.30281
727,0.34875,3.00698,3.35573
728,0.255885,5.54859,5.80448
729,0.432812,5.67359,6.10641
730,0.291562,5.61078,5.90234
731,0.394844,5.98896,6.3838
732,0.316511,3.21359,3.5301
733,0.243958,5.84073,6.08469
734,0.423125,6.08031,6.50344
735,0.289167,5.71354,6.00271
736,0.365677,5.82896,6.19464
737,0.322344,3.25297,3.57531
738,0.462656,5.09979,5.56245
739,0.380833,5.98245,6.36328
740,0.999948,6.10427,7.10422
741,0.458333,5.73547,6.1938
742,0.350677,4.17109,4.52177
743,0.489271,3.74427,4.23354
744,0.324427,5.83292,6.15734
745,0.384427,5.51089,5.89531
746,0.415729,5.84125,6.25698
747,0.478282,4.6551,5.13339
748,0.442968,3.90698,4.34995
749,0.414427,5.70464,6.11906
750,0.313594,5.76823,6.08182
751,0.391041,5.5412,5.93224
752,0.399115,4.37688,4.77599
753,0.380312,4.54104,4.92135
754,0.362812,6.16938,6.53219
755,0.394844,5.61635,6.0112
756,0.418959,5.65943,6.07839
757,0.303125,4.11974,4.42286
758,0.663541,6.27849,6.94203
759,0.946718,3.26354,4.21026
760,0.358177,5.52906,5.88724
761,0.527292,5.6374,6.16469
762,0.461459,4.39672,4.85818
763,0.971823,3.62932,4.60115
764,0.394375,5.52557,5.91995
765,0.304375,5.83969,6.14406
766,0.411094,5.76917,6.18026
767,0.35276,4.34042,4.69318
768,0.347083,4.24162,4.5887
769,0.438177,6.23234,6.67052
770,0.35599,5.63682,5.99281
771,0.405156,5.68135,6.08651
772,0.34125,4.26016,4.60141
773,0.698542,5.88068,6.57922
774,0.402083,3.42963,3.83172
775,0.286094,4.2424,4.52849
776,0.398645,6.88453,7.28318
777,0.402761,3.26344,3.6662
778,0.292448,5.3125,5.60495
779,0.390729,5.76729,6.15802
780,0.295261,5.69344,5.9887
781,0.496042,5.56328,6.05932
782,0.333593,3.20719,3.54078
783,0.294583,5.53437,5.82896
784,0.665417,5.92162,6.58703
785,0.360209,5.56203,5.92224
786,0.405989,5.605,6.01099
