frame,render_index,decode_ms,render_ms,total_ms
140,0,0.555938,5.28437,5.84031
140,1,0,2.44271,2.44271
140,2,0,1.90276,1.90276
140,3,0,2.40943,2.40943
141,0,0.403177,5.19005,5.59323
141,1,0,2.29297,2.29297
141,2,0,2.81016,2.81016
141,3,0,1.97068,1.97068
142,0,0.541719,5.5401,6.08182
142,1,0,1.96828,1.96828
142,2,0,2.65771,2.65771
142,3,0,1.85099,1.85099
143,0,0.584583,4.01526,4.59984
143,1,0,3.92516,3.92516
143,2,0,1.77812,1.77812
143,3,0,2.46432,2.46432
144,0,0.39474,3.83641,4.23115
144,1,0,3.87844,3.87844
144,2,0,1.76375,1.76375
144,3,0,1.77469,1.77469
145,0,1.09505,3.45057,4.54563
145,1,0,4.9063,4.9063
145,2,0,2.04578,2.04578
145,3,0,1.83146,1.83146
146,0,0.465052,4.27932,4.74437
146,1,0,2.61755,2.61755
146,2,0,4.13771,4.13771
146,3,0,1.79135,1.79135
147,0,0.358646,3.92786,4.28651
147,1,0,2.58802,2.58802
147,2,0,4.03911,4.03911
147,3,0,1.99302,1.99302
148,0,0.478021,4.07021,4.54823
148,1,0,1.90359,1.90359
148,2,0,2.41672,2.41672
148,3,0,3.91161,3.91161
149,0,0.365313,3.36281,3.72812
149,1,0,2.66938,2.66938
149,2,0,2.48349,2.48349
149,3,0,3.90073,3.90073
150,0,0.357604,3.23208,3.58969
150,1,0,2.48922,2.48922
150,2,0,1.81401,1.81401
150,3,0,2.40432,2.40432
151,0,0.391771,5.13745,5.52922
151,1,0,1.8624,1.8624
151,2,0,2.50328,2.50328
151,3,0,1.82323,1.82323
152,0,0.37599,4.02661,4.4026
152,1,0,4.13656,4.13656
152,2,0,2.24844,2.24844
152,3,0,1.90057,1.90057
153,0,0.36724,4.00302,4.37026
153,1,0,4.37287,4.37287
153,2,0,1.8526,1.8526
153,3,0,1.80229,1.80229
154,0,0.459063,3.27958,3.73865
154,1,0,2.39646,2.39646
154,2,0,1.81927,1.81927
154,3,0,4.65359,4.65359
155,0,0.398594,3.59672,3.99531
155,1,0,2.58844,2.58844
155,2,0,1.82755,1.82755
155,3,0,2.70417,2.70417
156,0,0.514635,4.94224,5.45688
156,1,0,1.80677,1.80677
156,2,0,2.59693,2.59693
156,3,0,1.81854,1.81854
157,0,0.762187,5.53656,6.29875
157,1,0,1.78302,1.78302
157,2,0,1.77448,1.77448
157,3,0,2.47964,2.47964
158,0,0.373021,3.98078,4.3538
158,1,0,3.88891,3.88891
158,2,0,1.80073,1.80073
158,3,0,2.54562,2.54562
159,0,0.481406,4.4049,4.8863
159,1,0,4.06208,4.06208
159,2,0,1.84943,1.84943
159,3,0,1.79318,1.79318
