scene,q,tx,ty,mean_z,disp_seed,disp_est,disocc,edge,activity,bits_intra,bits_stereo,bits_stereo_mv,bits_stereo_est,bits_stereo_rec_mv,bits_warp,bits_warp_mv,sad_intra,sad_stereo_mv,sad_warp_mv,mvx_q2,mvy_q2
hand,8,9,15,1.582,19.01,12,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,10,15,1.580,19.04,20,0.0000,0.0000,0.02,464.4,455.7,455.7,455.7,455.7,455.7,455.7,171,1,7,16,-8
hand,8,11,15,1.578,19.06,18,0.0000,0.0000,0.04,458.6,455.7,455.7,455.7,455.7,455.7,455.7,108,7,13,4,0
hand,8,12,15,1.576,19.09,12,0.0000,0.0000,0.03,455.7,455.7,455.7,455.7,455.7,455.7,455.7,33,0,13,0,0
hand,8,13,15,1.574,19.12,20,0.0000,0.0000,0.04,455.7,455.7,455.7,455.7,455.7,455.7,455.7,149,8,17,0,0
hand,8,14,15,1.571,19.14,16,0.0000,0.0000,0.01,458.6,455.7,455.7,455.7,455.7,455.7,455.7,53,0,1,-12,8
hand,8,15,15,1.569,19.17,0,0.0000,0.2991,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
far,8,0,0,1.149,26.17,26,0.0000,0.0000,9.63,5143.6,2718.9,2718.9,3399.5,2912.2,5286.4,3264.5,199572,6854,6524,1,0
far,8,1,0,1.151,26.14,26,0.0000,0.0000,8.72,5391.0,3127.0,3136.3,3136.3,3201.4,4898.2,3025.5,187724,8109,5447,-1,0
far,8,2,0,1.152,26.10,26,0.0000,0.0000,8.59,4970.5,2710.7,2710.7,2710.7,2646.0,5239.7,3152.1,185182,5388,5938,-1,0
far,8,3,0,1.154,26.06,26,0.0000,0.0000,9.66,5400.6,3819.3,3819.3,3819.3,3982.8,5762.3,3317.0,266264,10077,6333,0,0
far,8,4,0,1.156,26.03,26,0.0000,0.0000,9.16,5105.7,3293.9,3293.9,3293.9,3414.4,5292.2,2962.0,244186,9612,5746,0,0
