arm,run,scenario,phase,id,detail_mode,bytes,wire_bytes,encode_ms,raw_fnv
regional_fallback,1,continuous_pan_source,measured,106,global-v1,66121,68796,7.22684,cb4936b83fc54820
regional_fallback,1,continuous_pan_source,measured,107,global-v1,66107,68782,7.36659,bbdf2f71a384be64
regional_fallback,1,continuous_pan_source,measured,108,global-v1,66344,69019,7.26448,b518c6fec7367c52
regional_fallback,1,continuous_pan_source,measured,109,global-v1,66157,68832,7.31072,ed0cedb14d52229b
regional_fallback,1,continuous_pan_source,measured,110,global-v1,66333,69008,7.59653,91631cae452a6392
regional_fallback,1,continuous_pan_source,measured,111,global-v1,66602,69277,7.37084,bd77593c5cc518e1
regional_fallback,1,continuous_pan_source,measured,112,independent,108088,110763,6.38556,83092df7ffed8818
regional_fallback,1,continuous_pan_source,measured,113,global-v1,66571,69246,7.41493,f742cf7e2e870c52
regional_fallback,1,continuous_pan_source,measured,114,global-v1,66612,69287,7.31481,3a211f651c2c6fe9
regional_fallback,1,continuous_pan_source,measured,115,global-v1,66647,69322,7.30201,c00fcdc050f3c73d
regional_fallback,1,continuous_pan_source,measured,116,global-v1,66330,69005,7.40605,b770bd20e5730045
regional_fallback,1,continuous_pan_source,measured,117,global-v1,65901,68576,7.31907,5103c37306df0ec6
regional_fallback,1,continuous_pan_source,measured,118,global-v1,66181,68856,7.47919,87abc823a6071aa3
regional_fallback,1,continuous_pan_source,measured,119,global-v1,65866,68541,8.17127,18b3c37933e0e666
regional_fallback,1,continuous_pan_source,measured,120,independent,106463,109138,6.54923,9699386f4ccbbce4
regional_fallback,1,continuous_pan_source,measured,121,global-v1,65746,68421,7.44867,0f2b2763b4a6c70c
regional_fallback,1,continuous_pan_source,measured,122,global-v1,65976,68651,7.27643,cc72a0676ed89484
regional_fallback,1,continuous_pan_source,measured,123,global-v1,65821,68496,7.35064,08b6cd853f8f0ef6
regional_fallback,1,continuous_pan_source,measured,124,global-v1,65877,68552,7.14432,1d9f2613e564bd13
regional_fallback,1,continuous_pan_source,measured,125,global-v1,65519,68194,7.28376,1945d4166d577fbd
regional_fallback,1,continuous_pan_source,measured,126,global-v1,65631,68306,7.28867,b68dab58bf1b0332
regional_fallback,1,continuous_pan_source,measured,127,global-v1,65452,68127,7.40658,fd87d0e38b28bf3c
regional_fallback,1,continuous_pan_source,measured,128,independent,105409,108084,6.73427,65aaf509e73b0723
regional_fallback,1,continuous_pan_source,measured,129,global-v1,65786,68461,7.37888,e6054ffa45837d2c
regional_fallback,1,photo_scene_cut,measured,106,independent,137549,140224,10.15560,9907604201420eb8
regional_fallback,1,photo_scene_cut,measured,107,global-v1,116704,119379,7.69893,bb2841026995dce4
regional_fallback,1,photo_scene_cut,measured,108,global-v1,116402,119077,7.77021,4b25f0c55c95baf5
regional_fallback,1,photo_scene_cut,measured,109,global-v1,115879,118554,8.13889,501e12b5db1beccb
regional_fallback,1,photo_scene_cut,measured,110,global-v1,115580,118255,7.98240,510ef6d472eb75e6
regional_fallback,1,photo_scene_cut,measured,111,global-v1,115322,117997,7.71648,3638496c1e09f35c
regional_fallback,1,photo_scene_cut,measured,112,independent,135630,138305,6.44548,998ad3ac0acfe1e3
regional_fallback,1,photo_scene_cut,measured,113,global-v1,114884,117559,7.83417,a166e15f4f15cd60
regional_fallback,1,photo_scene_cut,measured,114,global-v1,114237,116912,7.84149,76c532524c302baa
regional_fallback,1,photo_scene_cut,measured,115,global-v1,114031,116706,7.87642,cfdf2aa11e21078a
regional_fallback,1,photo_scene_cut,measured,116,global-v1,113682,116357,7.88942,6ee2fcad6eca2c8b
regional_fallback,1,photo_scene_cut,measured,117,global-v1,113646,116321,7.65385,2fea8c576d326550
regional_fallback,1,photo_scene_cut,measured,118,global-v1,113422,116097,8.07458,03c24d36355ce265
regional_fallback,1,photo_scene_cut,measured,119,global-v1,112956,115631,7.88740,30a4b62803c6770b
regional_fallback,1,photo_scene_cut,measured,120,independent,133774,136449,6.56357,d9b0d4392f82b3fe
regional_fallback,1,photo_scene_cut,measured,121,global-v1,112535,115210,7.82104,cb3d3fbec0e02244
regional_fallback,1,photo_scene_cut,measured,122,global-v1,112712,115387,7.83801,546a6806559d0905
regional_fallback,1,photo_scene_cut,measured,123,global-v1,112310,114985,7.70803,4c3d57cfb87b8dd7
regional_fallback,1,photo_scene_cut,measured,124,global-v1,112097,114772,7.68583,4568d429357d1fd9
regional_fallback,1,photo_scene_cut,measured,125,global-v1,112346,115021,7.72112,1a64ced8f4164ff1
regional_fallback,1,photo_scene_cut,measured,126,global-v1,111736,114411,7.78390,6ae4d3344ed2bb22
regional_fallback,1,photo_scene_cut,measured,127,global-v1,111873,114548,7.77762,fbbd5d4d229fbbb2
regional_fallback,1,photo_scene_cut,measured,128,independent,132442,135117,6.54306,8f171ea4316d0d31
regional_fallback,1,photo_scene_cut,measured,129,global-v1,111232,113907,8.04929,b3ca5aabafca62c3
regional_fallback,1,opposing_no_ack,measured,106,independent,106799,109474,6.47919,ff395193d88bc8c9
regional_fallback,1,opposing_no_ack,measured,107,independent,106779,109454,7.07293,4f52882856be3545
regional_fallback,1,opposing_no_ack,measured,108,independent,106015,108690,6.50295,8309a486743f0a90
regional_fallback,1,opposing_no_ack,measured,109,independent,106615,109290,6.34377,149c45cd25e7b10a
regional_fallback,1,opposing_no_ack,measured,110,independent,106591,109266,6.15540,16e1934bca8f3cb8
regional_fallback,1,opposing_no_ack,measured,111,independent,105973,108648,6.28152,66b84d6b8554f57e
regional_fallback,1,opposing_no_ack,measured,112,independent,105920,108595,6.51777,9a40b907fe014bf8
