09-07 18:16:47.361 17110 26063 I WiVRn   : [2026-09-07 18:16:47.361] [WiVRn] [info] nxwarp[0] passB 9.1 ms = warp 0.0 + skip 0.0 + coded 0.0 + dir 0.0 + other 9.1; tiles skip 0 / coded 578 / dir 0 (eye pass 0)
09-07 18:16:47.361 17110 26063 I WiVRn   : [2026-09-07 18:16:47.361] [WiVRn] [info] nxwarp[0]: 106 frames dropped late (queue kept to 1)
09-07 18:16:47.361 17110 26063 I WiVRn   : [2026-09-07 18:16:47.361] [WiVRn] [info] nxwarp[0] stage: gap 3.2 | wait-prev 0.0 | submit 0.4 (qlock 0.0 + codec 0.4) | get_free 0.0 | fence-pre 0.0 | record 0.1 | qsubmit 0.0 | fence-post 13.3 | publish 0.0 ms; withheld 8, stride 1, arrival 21.9 ms
09-07 18:16:47.361 17110 26063 I WiVRn   : [2026-09-07 18:16:47.361] [WiVRn] [info] nxwarp[0] reassembly (network thread): 0.07 ms/frame over 126 frames, buffer 25 kB held for 25 kB of unit (1.0x)
09-07 18:16:47.361 17110 26063 I WiVRn   : [2026-09-07 18:16:47.361] [WiVRn] [info] nxwarp[0] fence-post 13.3 ms = nxvc gpu 12.2 + copy gpu 0.52 + queue 0.5 (over 118 frames with timestamps)
09-07 18:16:47.857 17110 25869 I WiVRn   : [2026-09-07 18:16:47.857] [WiVRn] [info] render: defoveate 1088x1088 per eye x2 = 2.37 Mpx/frame at scale 0.50 atlas-mode 0; 75 re-presented from the cache (reduce_gpu_load on)
09-07 18:16:48.467 17110 26060 I WiVRn   : [2026-09-07 18:16:48.467] [WiVRn] [info] nxwarp[0] net: 97 frames closed in 2.0 s, 0 with a hole, 0 out-of-order datagrams, 0 frames completed late, 0 queued for the worker, 450 decoded so far, 804 stragglers dropped; last hole 0/0 chunks, first missing -1, short false, chunk 1166 B
09-07 18:16:48.467 17110 26060 I WiVRn   : [2026-09-07 18:16:48.467] [WiVRn] [info] nxwarp[0] net: 0.033 ms per datagram over 4171 datagrams (69.46 ms of every second)
09-07 18:16:48.467 17110 26060 I WiVRn   : [2026-09-07 18:16:48.467] [WiVRn] [info] nxwarp[0] sel: stride 1, arrival 19.6 ms, dropped-late 106, withheld 10, decoded 450
09-07 18:16:48.467 17110 26060 I WiVRn   : [2026-09-07 18:16:48.467] [WiVRn] [info] nxwarp[0] rx: 18629 datagrams, placed 321946 (+56066), late 547 (+0), stale_frame 0, bad_range 0, bad_dir 0, bad_caps 0, bad_ver 0, auth_fail 0, replay 0, frozen 0, dup 0
09-07 18:16:49.382 17110 26063 I WiVRn   : [2026-09-07 18:16:49.382] [WiVRn] [info] nxwarp[0]: 101 frames in 2.0 s: 29566 B/frame, wait-prev 0.0 ms, wall 15.0 ms, nxvc passA 3.7 passB 9.7 gpu 13.4 ms; holes 0, refused 0
09-07 18:16:49.382 17110 26063 I WiVRn   : [2026-09-07 18:16:49.382] [WiVRn] [info] nxwarp[0] gpu duty 671 ms/s (67% of one GPU) for decode alone; the display pass is extra
09-07 18:16:49.382 17110 26063 I WiVRn   : [2026-09-07 18:16:49.382] [WiVRn] [info] nxwarp[0] passB 9.7 ms = warp 0.0 + skip 0.0 + coded 0.0 + dir 0.0 + other 9.7; tiles skip 0 / coded 578 / dir 0 (eye pass 0)
09-07 18:16:49.382 17110 26063 I WiVRn   : [2026-09-07 18:16:49.382] [WiVRn] [info] nxwarp[0]: 106 frames dropped late (queue kept to 1)
09-07 18:16:49.382 17110 26063 I WiVRn   : [2026-09-07 18:16:49.382] [WiVRn] [info] nxwarp[0] stage: gap 5.0 | wait-prev 0.0 | submit 0.2 (qlock 0.0 + codec 0.2) | get_free 0.0 | fence-pre 0.0 | record 0.0 | qsubmit 0.0 | fence-post 14.7 | publish 0.0 ms; withheld 0, stride 1, arrival 19.5 ms
09-07 18:16:49.382 17110 26063 I WiVRn   : [2026-09-07 18:16:49.382] [WiVRn] [info] nxwarp[0] reassembly (network thread): 0.03 ms/frame over 101 frames, buffer 29 kB held for 29 kB of unit (1.0x)
09-07 18:16:49.382 17110 26063 I WiVRn   : [2026-09-07 18:16:49.382] [WiVRn] [info] nxwarp[0] fence-post 14.7 ms = nxvc gpu 13.4 + copy gpu 0.51 + queue 0.7 (over 101 frames with timestamps)
